epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,296.878,0.6444,0.19396,0.17915,0.45448,1.12056,0.99826,0.97222,0.975,0.77539,0.99826,0.97222,0.975,0.96501,0.75332,0.09296,0.0568,0.36463,1.37709,0.0008516,0.0008516,0.0008516
60,301.962,0.63782,0.23595,0.17444,0.45185,1.10791,0.99921,0.97222,0.975,0.80702,0.99921,0.97222,0.98435,0.96659,0.70194,0.09339,0.02726,0.36583,1.33403,0.0008318,0.0008318,0.0008318
61,307.068,0.63094,0.21763,0.17709,0.42473,1.1129,1,0.97082,0.975,0.7715,1,0.97082,0.975,0.96174,0.75594,0.11396,0.05034,0.37295,1.41519,0.000812,0.000812,0.000812
62,312.639,0.62618,0.19173,0.17924,0.42884,1.09981,0.99943,0.94444,0.97417,0.798,0.99943,0.94444,0.97417,0.95979,0.72643,0.1489,0.04005,0.37701,1.37004,0.0007922,0.0007922,0.0007922
63,318.548,0.6086,0.18465,0.17194,0.43297,1.09903,0.99805,0.97222,0.975,0.79057,0.99805,0.97222,0.975,0.95812,0.70738,0.11665,0.03318,0.36634,1.33395,0.0007724,0.0007724,0.0007724
64,323.819,0.60187,0.18843,0.16463,0.40509,1.07028,1,0.94288,0.97338,0.79474,1,0.94288,0.97338,0.95797,0.66473,0.10168,0.03079,0.34505,1.2498,0.0007526,0.0007526,0.0007526
65,329.502,0.59304,0.17132,0.15995,0.41143,1.06988,0.97095,0.97222,0.97417,0.77523,0.99705,0.97222,0.991,0.96889,0.67459,0.10975,0.04262,0.36479,1.26229,0.0007328,0.0007328,0.0007328
66,335.917,0.56462,0.19884,0.17097,0.39007,1.07002,0.99755,0.97222,0.975,0.79196,0.99755,0.97222,0.975,0.96854,0.64166,0.10429,0.02794,0.33905,1.27938,0.000713,0.000713,0.000713
67,342.458,0.59613,0.18698,0.17612,0.40067,1.09985,0.9981,0.97222,0.975,0.80288,0.9981,0.97222,0.975,0.95968,0.66787,0.10854,0.04225,0.36796,1.3052,0.0006932,0.0006932,0.0006932
68,350.419,0.56299,0.16757,0.15389,0.38213,1.05496,0.9971,0.97222,0.975,0.8193,0.9971,0.97222,0.975,0.96429,0.61546,0.0919,0.04571,0.31562,1.24469,0.0006734,0.0006734,0.0006734
69,357.524,0.56812,0.18954,0.15402,0.39953,1.06842,0.94588,0.97101,0.97176,0.78827,0.9698,0.97222,0.97333,0.96006,0.63439,0.11421,0.04048,0.35916,1.2574,0.0006536,0.0006536,0.0006536
70,363.698,0.55218,0.18339,0.19934,0.39207,1.06011,0.97198,0.97222,0.97333,0.78725,0.99782,0.97222,0.975,0.96549,0.70025,0.08979,0.03442,0.3555,1.3169,0.0006338,0.0006338,0.0006338
71,370.568,0.54982,0.17251,0.16205,0.40012,1.06511,1,0.97024,0.975,0.80689,1,0.97024,0.975,0.96866,0.61312,0.08604,0.03917,0.31966,1.264,0.000614,0.000614,0.000614
72,376.608,0.54837,0.1903,0.15535,0.39601,1.0537,0.99828,0.97222,0.975,0.80885,0.99828,0.97222,0.975,0.96173,0.5819,0.08814,0.02835,0.31109,1.21317,0.0005942,0.0005942,0.0005942
73,382.751,0.5586,0.15941,0.15211,0.39206,1.07468,0.99829,0.97222,0.975,0.82079,0.99829,0.97222,0.975,0.96188,0.58907,0.09234,0.02686,0.30746,1.2175,0.0005744,0.0005744,0.0005744
74,387.801,0.53128,0.16483,0.15076,0.38294,1.04392,0.99827,0.97222,0.975,0.79058,0.99827,0.97222,0.975,0.9598,0.64823,0.10623,0.04249,0.34432,1.25057,0.0005546,0.0005546,0.0005546
75,393.118,0.51444,0.15479,0.1727,0.36751,1.05259,0.97045,0.97222,0.97417,0.82311,0.97045,0.97222,0.97417,0.95474,0.67045,0.09786,0.02765,0.34658,1.27748,0.0005348,0.0005348,0.0005348
76,398.622,0.53988,0.16999,0.15648,0.37901,1.05899,0.98268,0.97222,0.975,0.82353,0.98268,0.97222,0.975,0.95766,0.66227,0.11656,0.05594,0.33501,1.25254,0.000515,0.000515,0.000515
77,403.591,0.49824,0.15976,0.15025,0.36519,1.04202,0.9675,0.97222,0.97333,0.81133,1,0.9668,0.975,0.96214,0.62607,0.09844,0.02173,0.33844,1.22101,0.0004952,0.0004952,0.0004952
78,408.89,0.50163,0.13689,0.14766,0.35269,1.03648,0.96878,0.94444,0.94414,0.79524,0.99727,0.97222,0.975,0.96102,0.65613,0.09414,0.02877,0.32332,1.2349,0.0004754,0.0004754,0.0004754
79,414.465,0.49222,0.14412,0.14241,0.34966,1.02779,0.99717,0.97222,0.975,0.80304,0.99717,0.97222,0.975,0.95868,0.62186,0.10465,0.0158,0.32306,1.21075,0.0004556,0.0004556,0.0004556
80,421.283,0.51329,0.16256,0.15398,0.36032,1.03872,1,0.97043,0.975,0.82396,1,0.97043,0.975,0.95888,0.57958,0.09564,0.01606,0.29897,1.16852,0.0004358,0.0004358,0.0004358
81,428.756,0.51726,0.14159,0.1305,0.35693,1.04956,0.96878,0.97222,0.97417,0.82987,1,0.96939,0.975,0.96126,0.58202,0.08732,0.02232,0.2927,1.19024,0.000416,0.000416,0.000416
82,435.606,0.48667,0.14278,0.13777,0.34379,1.02465,0.97215,0.97222,0.97417,0.81198,1,0.97087,0.975,0.95831,0.59607,0.10681,0.03204,0.32845,1.21658,0.0003962,0.0003962,0.0003962
83,443.429,0.48843,0.13803,0.14491,0.34303,1.02921,1,0.96771,0.975,0.81578,1,0.96771,0.975,0.96126,0.6299,0.07969,0.01906,0.31842,1.26258,0.0003764,0.0003764,0.0003764
84,449.97,0.48069,0.14005,0.12716,0.33481,1.03094,1,0.96691,0.975,0.82996,1,0.96691,0.975,0.9648,0.57933,0.07631,0.01862,0.29025,1.19803,0.0003566,0.0003566,0.0003566
